,, Week,2026-02-23,2026-02-23,2026-02-23,2026-02-23,2026-03-02,2026-03-02,2026-03-02,2026-03-02
1722,BELLA ITALIA,Mid-market (AM Segment),26.0%,5,0.0%,€13.78,26.0%,10,0.0%,€14.85
1723,LAZZURO RISTORANTE,SMB (AM Segment),26.0%,3,0.0%,€16.08,26.0%,3,0.0%,€13.97
1724,ADJYKA,Mid-market (AM Segment),26.0%,25,0.0%,€13.80,20.2%,55,0.0%,€12.81
1725,ITALIYSʹKYY KVARTAL,Mid-market (AM Segment),26.0%,33,0.0%,€12.74,26.0%,33,0.0%,€14.50
1726,SUSHI NICE,SMB (AM Segment),26.0%,16,0.0%,€26.17,26.0%,35,0.0%,€32.80
1727,VANIL OD,SMB (AM Segment),26.0%,1,0.0%,€11.01,26.0%,4,0.0%,€15.04
1728,MEDUZAPLT,SMB (AM Segment),26.0%,1,0.0%,€18.97,26.0%,2,0.0%,€15.70
1729,EFIOP KAFE,SMB (AM Segment),26.0%,4,0.0%,€20.05,26.0%,5,0.0%,€13.84
1730,FAMICHEFS,SMB (AM Segment),26.0%,4,0.0%,€15.33,26.0%,4,0.0%,€15.41
1731,LARA,SMB (AM Segment),26.0%,1,0.0%,€6.45,26.0%,2,0.0%,€9.57
1732,PANAZIA,SMB (AM Segment),26.0%,61,0.0%,€15.77,26.0%,69,0.0%,€15.69
1733,IQ PIZZA,SMB (AM Segment),26.0%,2,0.0%,€7.82,26.0%,3,0.0%,€9.32
1734,NADROVAKH,SMB (AM Segment),26.0%,4,0.0%,€12.31,26.0%,8,0.0%,€15.23
1735,MANGAS,SMB (AM Segment),26.0%,5,0.0%,€6.46,26.0%,5,0.0%,€8.11
1736,FAMIITALY,SMB (AM Segment),26.0%,11,0.0%,€24.20,25.7%,18,0.0%,€22.53
1737,TATARKA KRYMSKA KYHNYA,Mid-market (AM Segment),26.0%,1,0.0%,€36.92,25.0%,7,0.0%,€21.32
1738,DOGSBURGERS,Mid-market (AM Segment),26.0%,21,0.0%,€17.40,26.0%,28,0.0%,€17.14
1739,GOODFASTFOOD,SMB (AM Segment),26.0%,4,0.0%,€10.15,26.0%,3,0.0%,€8.24
1740,DOBRA PIZZA,SMB (AM Segment),26.0%,6,0.0%,€7.22,26.0%,7,0.0%,€6.59
1741,CHIN CHIN,SMB (AM Segment),26.0%,3,0.0%,€23.73,26.0%,4,0.0%,€32.41
1742,SHAVIERMA BRAT,Mid-market (AM Segment),26.0%,37,0.0%,€12.67,20.4%,65,0.0%,€13.54
1743,SHAVA HOUSE,SMB (AM Segment),26.0%,12,0.0%,€10.36,26.0%,15,0.0%,€11.33
1744,DOGS&BURGERS,SMB (AM Segment),26.0%,4,0.0%,€12.80,26.0%,1,0.0%,€16.05
1745,SHASHLIKDRIVE,SMB (AM Segment),26.0%,2,0.0%,€28.35,26.0%,3,0.0%,€14.81
1746,DAVINCI ZP,Mid-market (AM Segment),26.0%,13,0.0%,€21.13,26.0%,10,0.0%,€28.08
1747,WOW GRILL,Mid-market (AM Segment),26.0%,48,0.0%,€11.86,26.0%,47,0.0%,€11.78
1748,CITADEL BREWPUB,SMB (AM Segment),26.0%,6,0.0%,€8.72,26.0%,4,0.0%,€12.84
1749,GOOD FAST FOOD 2,SMB (AM Segment),26.0%,10,0.0%,€8.06,26.0%,11,0.0%,€10.46
1750,IQ PIZZA,Mid-market (AM Segment),26.0%,404,0.0%,€11.98,25.9%,379,0.0%,€11.79
1751,SALAD DAY,SMB (AM Segment),26.0%,2,0.0%,€11.57,22.4%,2,0.0%,€17.67
1752,MYASOBULKA,SMB (AM Segment),26.0%,19,0.0%,€11.94,26.4%,15,0.0%,€13.81
1753,SHAURMISHKA,Mid-market (AM Segment),26.0%,461,0.0%,€13.42,20.1%,581,0.0%,€13.43
1754,ROYAL KEBAB,Mid-market (AM Segment),26.0%,244,0.0%,€13.49,26.1%,218,0.0%,€13.43
1755,ITALIST PIZZA PASTA BAR,SMB (AM Segment),26.0%,18,0.0%,€14.30,23.4%,4,0.0%,€11.97
1756,TATARKA CHEBUREKY PO-KRYMSKY,Mid-market (AM Segment),26.0%,20,39.4%,€17.06,25.8%,9,5.1%,€19.21
1757,EDES KROPYVNYTSKIY,SMB (AM Segment),26.0%,2,100.0%,€8.69,28.0%,3,100.0%,€7.23
1758,PASTACHEF,SMB (AM Segment),25.9%,25,100.0%,€21.17,25.8%,23,100.0%,€22.49
1759,SUSHI ICONS,Mid-market (AM Segment),25.9%,73,87.0%,€31.99,26.0%,87,88.2%,€33.31
1760,NARESHTI ZP,Mid-market (AM Segment),25.9%,106,0.0%,€13.81,26.0%,120,0.0%,€14.30
1761,GREMIO GRILL,Mid-market (AM Segment),25.9%,278,0.0%,€20.38,25.8%,270,0.0%,€19.85
1762,SAME TOY DONER,SMB (AM Segment),25.9%,12,0.0%,€10.41,27.2%,10,0.0%,€13.02
1763,SV CAFFE,SMB (AM Segment),25.9%,2,0.0%,€9.14,27.1%,5,0.0%,€10.66
1764,ONELOVESUSHI KYIV,SMB (AM Segment),25.9%,23,0.0%,€38.38,25.8%,24,0.0%,€37.04
1765,POMIDOROS,SMB (AM Segment),25.9%,10,0.0%,€17.34,26.6%,13,0.0%,€20.48
1766,GOOD FOOD BILA TSERKVA,SMB (AM Segment),25.9%,6,100.0%,€10.65,25.8%,11,100.0%,€10.65
1767,KOSMOS,SMB (AM Segment),25.9%,11,0.0%,€19.52,27.0%,6,0.0%,€15.93
1768,MAO BC,SMB (AM Segment),25.8%,4,100.0%,€18.82,25.0%,8,100.0%,€12.98
1769,MARANELLO,Mid-market (AM Segment),25.8%,179,0.0%,€16.81,26.1%,177,0.0%,€16.87
1770,BUKOVYNSKA KHATA,SMB (AM Segment),25.8%,3,0.0%,€20.62,26.7%,6,0.0%,€12.77
1771,KUZNYA REBRA TA PYVA,SMB (AM Segment),25.8%,5,100.0%,€23.09,24.0%,9,100.0%,€29.78
1772,SUSHI KIOTO,SMB (AM Segment),25.8%,9,0.0%,€24.04,25.0%,6,0.0%,€27.61
1773,IDEALIST COFFEE CO,Mid-market (AM Segment),25.8%,222,0.0%,€18.23,25.9%,211,0.0%,€17.29
1774,PASTA POKYIVSKY,SMB (AM Segment),25.8%,7,100.0%,€18.41,25.6%,9,100.0%,€22.78
1775,BUREK,Mid-market (AM Segment),25.8%,90,15.7%,€12.45,25.6%,139,20.2%,€12.40
1776,PETROVKA PUB,SMB (AM Segment),25.8%,8,0.0%,€16.61,26.0%,1,0.0%,€8.55
1777,SHASHLYCHKA,SMB (AM Segment),25.8%,9,100.0%,€30.16,30.6%,2,100.0%,€21.62
1778,VALBER,SMB (AM Segment),25.7%,21,0.0%,€16.42,26.6%,17,0.0%,€18.56
1779,FRESCO GASTRO BAR,SMB (AM Segment),25.7%,7,0.0%,€24.93,28.0%,12,0.0%,€22.27
1780,TURKMEN DONER,SMB (AM Segment),25.7%,4,100.0%,€9.78,23.9%,15,100.0%,€14.62
1781,PIZZA PA PIZZA,Mid-market (AM Segment),25.7%,41,0.0%,€13.38,25.5%,45,0.0%,€12.50
1782,BARSUK,Mid-market (AM Segment),25.7%,45,0.0%,€20.11,25.8%,42,0.0%,€21.27
1783,BARAKAT DONER,SMB (AM Segment),25.7%,30,0.0%,€15.61,25.8%,20,0.0%,€15.96
1784,SUSHI SAN MANI,SMB (AM Segment),25.7%,8,0.0%,€23.89,28.0%,5,0.0%,€18.77
1785,KURTOSH KALASH U SERCI ODESY,SMB (AM Segment),25.7%,9,0.0%,€14.19,25.0%,3,0.0%,€17.25
1786,RESTORAN UKRAINSKOI KUKHNI MA,SMB (AM Segment),25.7%,17,100.0%,€18.89,26.4%,15,100.0%,€20.79
1787,PIZZA CUB,SMB (AM Segment),25.7%,19,0.0%,€14.32,25.0%,11,0.0%,€15.55
1788,PORTER PUB,SMB (AM Segment),25.7%,5,0.0%,€16.70,26.4%,8,0.0%,€20.17
1789,SNIDANOK 24,SMB (AM Segment),25.6%,1,0.0%,€12.05,27.0%,3,0.0%,€8.10
1790,CHEREPAHA GRILL BAR,SMB (AM Segment),25.6%,1,100.0%,€17.25,,,,
1791,TOMAKI,SMB (AM Segment),25.6%,3,0.0%,€43.94,25.6%,2,0.0%,€55.77
1792,BEER VIBE,SMB (AM Segment),25.6%,5,0.0%,€15.75,28.2%,9,0.0%,€14.78
1793,MEAT WOOD,SMB (AM Segment),25.6%,8,0.0%,€14.02,26.6%,19,0.0%,€14.63
1794,SYTYY LOSʹ,SMB (AM Segment),25.6%,12,100.0%,€16.11,25.2%,13,100.0%,€18.64
1795,BBQ BARK,SMB (AM Segment),25.6%,4,0.0%,€34.97,29.3%,11,0.0%,€31.49
1796,PURI CHVENI DN,Mid-market (AM Segment),25.6%,37,100.0%,€17.53,25.8%,43,100.0%,€20.44
1797,PUB KARTUZ,SMB (AM Segment),25.5%,8,100.0%,€11.76,26.1%,8,100.0%,€15.55
1798,SANDWICH HOUSE,SMB (AM Segment),25.5%,5,0.0%,€19.46,26.4%,9,0.0%,€20.08
1799,DUBAI,SMB (AM Segment),25.5%,1,0.0%,€321.46,,,,
1800,ODESA,SMB (AM Segment),25.5%,1,0.0%,€18.91,25.5%,2,0.0%,€28.44
1801,AGIL FOOD,SMB (AM Segment),25.5%,1,0.0%,€10.03,,,,
1802,AMMO,SMB (AM Segment),25.5%,1,0.0%,€16.21,30.0%,1,0.0%,€14.85
1803,WHITE GARDEN,SMB (AM Segment),25.5%,4,0.0%,€32.48,28.2%,5,0.0%,€19.78
1804,HARMS,SMB (AM Segment),25.5%,10,0.0%,€27.60,25.7%,11,0.0%,€25.76
1805,MUZA BY KLOPOTENKO,Mid-market (AM Segment),25.4%,240,59.0%,€17.73,23.6%,200,69.9%,€16.45
1806,MUSHLYA,Mid-market (AM Segment),25.4%,23,0.0%,€20.40,25.0%,35,0.0%,€25.83
1807,ROCO SUSHI,Mid-market (AM Segment),25.4%,69,0.0%,€38.29,25.8%,62,0.0%,€36.64
1808,MAMAHUANA,SMB (AM Segment),25.4%,3,100.0%,€27.36,25.0%,1,100.0%,€17.53
1809,HALA,SMB (AM Segment),25.4%,22,0.0%,€17.85,25.6%,7,0.0%,€15.12
1810,PO ASIA,SMB (AM Segment),25.3%,6,0.0%,€18.95,24.5%,10,0.0%,€22.47
1811,PASTA LA PEPITO,SMB (AM Segment),25.3%,40,100.0%,€23.08,26.8%,22,100.0%,€19.06
1812,TARGET CAFE,SMB (AM Segment),25.3%,10,100.0%,€20.47,23.4%,13,100.0%,€19.96
1813,DUMKY NA SMAK,SMB (AM Segment),25.3%,28,100.0%,€23.88,24.7%,25,100.0%,€25.36
1814,DONO 104,SMB (AM Segment),25.3%,16,51.2%,€13.06,24.9%,17,53.8%,€13.45
1815,THE ROLL,Mid-market (AM Segment),25.3%,106,100.0%,€29.13,25.2%,156,100.0%,€33.91
1816,FAMIBURGER,SMB (AM Segment),25.3%,11,0.0%,€16.09,26.0%,12,0.0%,€16.90
1817,ETHNO-CAFE VUHLYANCHA,SMB (AM Segment),25.3%,4,0.0%,€15.03,,,,
1818,SHAMPURI,SMB (AM Segment),25.3%,5,100.0%,€11.79,25.1%,11,100.0%,€29.48
1819,FOG FACTORY,SMB (AM Segment),25.2%,5,0.0%,€30.51,25.5%,5,0.0%,€25.24
1820,CHACHO,SMB (AM Segment),25.2%,7,100.0%,€18.59,25.5%,6,100.0%,€12.04
1821,KARLSON,SMB (AM Segment),25.2%,15,100.0%,€19.16,30.2%,6,100.0%,€18.31
1822,PROSTIR,SMB (AM Segment),25.2%,3,0.0%,€18.06,26.7%,5,0.0%,€19.79
1823,SHAURMA ZOSH,SMB (AM Segment),25.2%,1,0.0%,€16.52,25.2%,1,0.0%,€15.72
1824,TATO HUS,SMB (AM Segment),25.2%,2,100.0%,€15.54,26.2%,6,100.0%,€16.71
1825,GURU BEER,SMB (AM Segment),25.2%,1,0.0%,€11.56,,,,
1826,CHEZA,SMB (AM Segment),25.2%,13,0.0%,€32.01,26.6%,18,0.0%,€20.53
1827,TOKIO,SMB (AM Segment),25.2%,7,0.0%,€20.31,26.8%,7,0.0%,€23.71
1828,PYVOMARKET,SMB (AM Segment),25.2%,14,100.0%,€11.65,25.0%,18,100.0%,€9.35
1829,PICAKRYLA,Mid-market (AM Segment),25.2%,9,0.0%,€21.42,20.3%,11,0.0%,€16.12
1830,VOKA VOKA,Mid-market (AM Segment),25.2%,3,0.0%,€19.63,28.0%,3,0.0%,€40.55
1831,PENNELVIV,SMB (AM Segment),25.1%,21,0.0%,€17.05,21.1%,31,0.0%,€15.13
1832,#ARIZONA,Mid-market (AM Segment),25.1%,36,0.0%,€16.36,25.3%,29,0.0%,€16.94
1833,REAL AMERICAN BURGER,SMB (AM Segment),25.1%,16,0.0%,€28.38,25.2%,20,0.0%,€24.91
1834,LE GRILL,Mid-market (AM Segment),25.0%,4,0.0%,€27.90,25.0%,10,0.0%,€24.38
1835,BUDIVELNA RESTORATSIA,SMB (AM Segment),25.0%,8,100.0%,€26.49,26.9%,5,100.0%,€16.26
1836,PRONTO MINI,SMB (AM Segment),25.0%,17,0.0%,€8.66,25.0%,19,0.0%,€9.45
1837,GARYACHA CYPA,SMB (AM Segment),25.0%,1,0.0%,€6.72,,,,
1838,3 KEBABY,SMB (AM Segment),25.0%,3,0.0%,€14.34,25.0%,3,0.0%,€8.97
1839,ALLO LOSOS,Mid-market (AM Segment),25.0%,44,0.0%,€14.65,25.0%,42,0.0%,€14.42
1840,AMPM,SMB (AM Segment),25.0%,3,0.0%,€8.56,,,,
1841,ANTREKOT,SMB (AM Segment),25.0%,2,0.0%,€49.83,25.0%,1,0.0%,€20.49
1842,APIVAS,SMB (AM Segment),25.0%,4,0.0%,€10.25,25.0%,11,0.0%,€7.96
1843,ATLAS SHAURMA,SMB (AM Segment),25.0%,9,0.0%,€12.15,25.0%,10,0.0%,€15.48
1844,AVO,SMB (AM Segment),25.0%,1,0.0%,€9.64,25.0%,4,0.0%,€17.41
1845,AYDA,Mid-market (AM Segment),25.0%,20,0.0%,€14.61,24.7%,25,0.0%,€14.17
1846,BAR MALYNA,SMB (AM Segment),25.0%,3,0.0%,€10.34,25.0%,12,0.0%,€11.00
1847,BARBOSS,SMB (AM Segment),25.0%,4,100.0%,€19.18,25.0%,7,100.0%,€25.63
1848,BEST BBQ,SMB (AM Segment),25.0%,1,0.0%,€5.69,,,,
1849,BLACK COINE,Mid-market (AM Segment),25.0%,25,0.0%,€12.00,25.0%,21,0.0%,€11.45
1850,BLIN BLINSKYJ,SMB (AM Segment),25.0%,3,0.0%,€11.68,25.0%,4,0.0%,€7.97
1851,BUNKERBAR,SMB (AM Segment),25.0%,8,0.0%,€23.05,25.0%,1,0.0%,€20.93
1852,BUON GUSTO,SMB (AM Segment),25.0%,37,0.0%,€16.20,25.0%,51,0.0%,€11.67
1853,BYDYNOK PISCHEVICHA,SMB (AM Segment),25.0%,1,0.0%,€40.73,22.5%,1,0.0%,€11.43
1854,CAFE PICCOLO BAR,SMB (AM Segment),25.0%,3,0.0%,€12.92,25.0%,4,0.0%,€14.93
1855,CAMPANIA,SMB (AM Segment),25.0%,5,0.0%,€7.92,25.0%,9,0.0%,€10.88
1856,CBD LOVER,SMB (AM Segment),25.0%,5,0.0%,€6.33,,,,
1857,CHEREPAHA SLOTY,Mid-market (AM Segment),25.0%,5,0.0%,€27.54,25.0%,11,0.0%,€17.23
1858,COFFEE STORY,SMB (AM Segment),25.0%,1,0.0%,€7.84,,,,
1859,CRAFT BEER MARKET,SMB (AM Segment),25.0%,3,0.0%,€17.17,25.0%,4,0.0%,€9.84
1860,CRAFT BURGER KOVEL,SMB (AM Segment),25.0%,3,0.0%,€10.57,25.0%,7,0.0%,€17.00
1861,DA!BRO PIZZA,SMB (AM Segment),25.0%,1,0.0%,€9.13,,,,
1862,DACHA,SMB (AM Segment),25.0%,8,100.0%,€16.15,25.5%,8,100.0%,€13.20
1863,DAI DVA,SMB (AM Segment),25.0%,2,0.0%,€8.08,25.0%,1,0.0%,€13.68
1864,DONER LAND,SMB (AM Segment),25.0%,31,0.0%,€12.77,25.0%,36,0.0%,€12.83
1865,DRINK&FOOD,SMB (AM Segment),25.0%,1,100.0%,€7.70,,,,
1866,DUCK STORIES,SMB (AM Segment),25.0%,7,0.0%,€19.27,25.0%,3,0.0%,€30.42
1867,ESCOBAR,Mid-market (AM Segment),25.0%,7,0.0%,€22.49,25.0%,7,0.0%,€35.04
1868,ESSCO COFFE SPACE,SMB (AM Segment),25.0%,16,0.0%,€15.17,25.0%,9,0.0%,€14.40
1869,FIRE FOX,SMB (AM Segment),25.0%,8,0.0%,€14.59,25.0%,8,0.0%,€10.51
1870,FIRE SUSHI,SMB (AM Segment),25.0%,10,0.0%,€21.72,24.8%,24,0.0%,€18.71
1871,FOOGOO,SMB (AM Segment),25.0%,1,0.0%,€28.61,25.0%,2,0.0%,€22.02
1872,FORNO KH,SMB (AM Segment),25.0%,6,0.0%,€9.15,24.3%,10,0.0%,€11.61
1873,FRESCO ZAPORIZHIA,SMB (AM Segment),25.0%,7,0.0%,€10.41,25.0%,11,0.0%,€11.63
1874,GEORGIAN SHAWA,SMB (AM Segment),25.0%,40,0.0%,€11.46,27.0%,32,0.0%,€11.32
1875,GOST BAR,SMB (AM Segment),25.0%,5,0.0%,€10.56,25.0%,4,0.0%,€10.53
1876,GRAND PIZZA,SMB (AM Segment),25.0%,12,0.0%,€14.64,25.0%,11,0.0%,€14.08
1877,GRILL VIBE,Mid-market (AM Segment),25.0%,28,0.0%,€11.87,25.0%,35,0.0%,€12.32
1878,GRUSHA GEORGIA,SMB (AM Segment),25.0%,13,0.0%,€17.65,25.0%,15,0.0%,€20.49
1879,HENRIKH SHULʹTS,SMB (AM Segment),25.0%,3,0.0%,€23.78,25.0%,2,0.0%,€24.09
1880,HLIBNA MAJSTERNYA BOULANGERIE ARTISAN,SMB (AM Segment),25.0%,8,0.0%,€7.97,25.0%,14,0.0%,€10.30
1881,HOPPY PIZZA,SMB (AM Segment),25.0%,1,0.0%,€21.05,25.0%,2,0.0%,€24.15
1882,IF YOU ARE HUNGRY,SMB (AM Segment),25.0%,1,0.0%,€14.26,25.0%,1,0.0%,€5.50
1883,JOE BURGER,SMB (AM Segment),25.0%,1,0.0%,€19.48,25.0%,5,0.0%,€9.54
1884,JUST COOK IT,SMB (AM Segment),25.0%,2,0.0%,€16.01,25.0%,1,0.0%,€19.46
1885,KARNEMIT,SMB (AM Segment),25.0%,13,0.0%,€10.49,25.0%,21,0.0%,€10.85
1886,KATANA SUSHI BAR KROP,SMB (AM Segment),25.0%,1,0.0%,€18.36,,,,
1887,KAVKAZKYI DIM,SMB (AM Segment),25.0%,11,0.0%,€30.36,25.0%,6,0.0%,€37.76
1888,KHARKIVFOOD,SMB (AM Segment),25.0%,9,0.0%,€8.60,25.0%,8,0.0%,€8.36
1889,KIT SHAWARMA,SMB (AM Segment),25.0%,1,100.0%,€6.63,25.1%,3,100.0%,€10.65
1890,KOROLIVSKA PITSTSA BAYRONA,SMB (AM Segment),25.0%,16,0.0%,€11.81,25.0%,14,0.0%,€13.15
1891,KOROLIVSKA PITSTSA SALTIVSKE SHOSSE,SMB (AM Segment),25.0%,21,0.0%,€10.27,25.0%,32,0.0%,€12.47
1892,KUCHERI,SMB (AM Segment),25.0%,14,0.0%,€12.30,25.0%,7,0.0%,€15.76
1893,KUCHMEJSTER,SMB (AM Segment),25.0%,28,0.0%,€23.58,24.9%,28,0.0%,€24.54
1894,KVADRAT PIZZA,SMB (AM Segment),25.0%,4,0.0%,€13.56,,,,
1895,KVADRATKHA,SMB (AM Segment),25.0%,2,0.0%,€15.60,,,,
1896,LEVEL UP KEBAB,SMB (AM Segment),25.0%,1,0.0%,€11.52,25.0%,3,0.0%,€11.98
1897,LVIV CROISSANTS,SMB (AM Segment),25.0%,3,0.0%,€9.92,23.4%,9,0.0%,€7.34
1898,M&S DONER,SMB (AM Segment),25.0%,16,0.0%,€8.16,25.0%,22,0.0%,€9.15
1899,MANEKI-NEKO BORYSPIL,SMB (AM Segment),25.0%,1,0.0%,€21.80,25.0%,2,0.0%,€34.20
1900,MANEKI-NEKO BROVARY,SMB (AM Segment),25.0%,2,0.0%,€38.30,25.0%,5,0.0%,€28.24
1901,MAO KLM,SMB (AM Segment),25.0%,5,0.0%,€15.75,25.0%,10,0.0%,€16.29
1902,MARTIN KRR,SMB (AM Segment),25.0%,1,0.0%,€5.78,25.0%,1,0.0%,€17.70
1903,MIASORUB,Mid-market (AM Segment),25.0%,6,0.0%,€29.59,25.0%,3,0.0%,€29.07
1904,MILK BAR,Mid-market (AM Segment),25.0%,135,0.0%,€22.07,25.0%,145,0.0%,€21.43
1905,MINISTERSTVO DESERTIV,Mid-market (AM Segment),25.0%,18,0.0%,€21.44,25.0%,18,0.0%,€19.46
1906,MINISTERSTVO SHAURMY,Mid-market (AM Segment),25.0%,18,0.0%,€14.80,25.0%,17,0.0%,€18.08
1907,MIS LI KREMENCHUK,SMB (AM Segment),25.0%,4,12.9%,€14.28,25.0%,8,23.3%,€12.97
1908,MLUNETS I KAVA,SMB (AM Segment),25.0%,5,0.0%,€13.87,25.0%,25,0.0%,€12.09
1909,MONIKA 2049,SMB (AM Segment),25.0%,1,0.0%,€19.78,25.0%,1,0.0%,€28.78
1910,MORELI,SMB (AM Segment),25.0%,6,0.0%,€8.70,25.0%,6,0.0%,€18.67
1911,MR KRABS,SMB (AM Segment),25.0%,1,0.0%,€77.87,25.0%,1,0.0%,€23.91
1912,MUMBAI ROLLZ,SMB (AM Segment),25.0%,8,0.0%,€11.75,25.0%,17,0.0%,€11.85
1913,MUSHROOM,SMB (AM Segment),25.0%,4,0.0%,€7.49,25.0%,4,0.0%,€14.17
1914,MYASNIY TSENTR,Mid-market (AM Segment),25.0%,4,0.0%,€11.94,,,,
1915,OASIS KLM,SMB (AM Segment),25.0%,2,0.0%,€16.56,,,,
1916,ODESSA MAMA,SMB (AM Segment),25.0%,5,0.0%,€18.02,25.0%,1,0.0%,€15.99
1917,ODNYMSLOVOM,SMB (AM Segment),25.0%,12,0.0%,€16.17,25.0%,13,0.0%,€21.06
1918,OTTANTOTTO 88,SMB (AM Segment),25.0%,6,0.0%,€13.65,25.0%,8,0.0%,€17.34
1919,PEREKUS,SMB (AM Segment),25.0%,4,0.0%,€13.15,25.0%,8,0.0%,€12.57
1920,PERSHA KHARKIVSKA HALUSHKARNYA,SMB (AM Segment),25.0%,1,0.0%,€16.62,,,,
1921,PICCOLINO,SMB (AM Segment),25.0%,9,0.0%,€16.29,25.0%,6,0.0%,€15.15
1922,PIVOBANK FOOD,SMB (AM Segment),25.0%,3,0.0%,€9.57,25.0%,1,0.0%,€9.57
1923,PIZZ SUSHI S,SMB (AM Segment),25.0%,3,0.0%,€13.99,25.0%,4,0.0%,€13.32
1924,PIZZA DROVAH,SMB (AM Segment),25.0%,15,0.0%,€13.41,25.0%,14,0.0%,€16.18
1925,PIZZA NA DROVAH,SMB (AM Segment),25.0%,1,0.0%,€14.76,25.0%,5,0.0%,€15.29
1926,PIZZA SUSHI SHOP,SMB (AM Segment),25.0%,7,0.0%,€13.48,25.0%,7,0.0%,€15.75
1927,POLICHANO,SMB (AM Segment),25.0%,5,0.0%,€10.97,25.0%,4,0.0%,€15.75
1928,POLISYANKA,SMB (AM Segment),25.0%,10,0.0%,€11.08,25.0%,3,0.0%,€16.26
1929,POSOLSTVO SUSHI,SMB (AM Segment),25.0%,9,0.0%,€19.04,25.0%,2,0.0%,€13.69
1930,PRONTO PIZZA,Mid-market (AM Segment),25.0%,6,0.0%,€16.30,,,,
1931,PRONTO PIZZA,SMB (AM Segment),25.0%,14,0.0%,€16.10,25.0%,7,0.0%,€18.93
1932,PUNTO PIZZA,SMB (AM Segment),25.0%,4,0.0%,€15.49,25.0%,1,0.0%,€11.98
1933,RAS SUSHI S,Mid-market (AM Segment),25.0%,3,0.0%,€8.51,25.0%,9,0.0%,€16.38
1934,RESTO BY M'YASOMARKET,SMB (AM Segment),25.0%,3,0.0%,€9.00,24.0%,4,0.0%,€13.93
1935,RESTORATSIA VILLAGE,SMB (AM Segment),25.0%,2,0.0%,€21.55,25.0%,1,0.0%,€9.06
1936,RIBS HOUSE RIVNE,SMB (AM Segment),25.0%,3,100.0%,€46.34,27.6%,9,100.0%,€19.20
1937,RICHART,SMB (AM Segment),25.0%,1,0.0%,€7.09,25.0%,2,0.0%,€9.35
1938,ROMA VDOMA BERDYCHIVSKA,Mid-market (AM Segment),25.0%,24,0.0%,€11.34,25.0%,28,0.0%,€12.12
1939,SHAMI KLM,SMB (AM Segment),25.0%,3,0.0%,€10.52,25.0%,4,0.0%,€12.79
1940,SHAMPUR1,SMB (AM Segment),25.0%,21,0.0%,€13.24,25.0%,29,0.0%,€12.07
1941,SHASHLIKYAN MAX,Mid-market (AM Segment),25.0%,6,0.0%,€19.14,25.0%,9,0.0%,€20.77
1942,SHAURMAN,SMB (AM Segment),25.0%,2,0.0%,€6.40,25.0%,2,0.0%,€4.61
1943,SILPO RESTO,Mid-market (AM Segment),25.0%,20,0.0%,€13.42,25.0%,31,0.0%,€13.74
1944,SIMEYNA PEKARNYA GROUP,SMB (AM Segment),25.0%,1,0.0%,€9.78,,,,
1945,SOVA LOFT BAR,SMB (AM Segment),25.0%,3,0.0%,€12.89,25.0%,1,0.0%,€11.07
1946,STATION PIZZA,SMB (AM Segment),25.0%,25,0.0%,€19.53,24.9%,16,0.0%,€19.35
1947,STEAK VYHUHOL,SMB (AM Segment),25.0%,3,0.0%,€25.22,25.0%,3,0.0%,€14.66
1948,STOLYCHNA SASHLYCHNA,Mid-market (AM Segment),25.0%,1,0.0%,€9.64,25.0%,1,0.0%,€15.42
1949,SUSHI CK UA,SMB (AM Segment),25.0%,6,0.0%,€16.05,25.0%,14,0.0%,€20.07
1950,SUSHI NORM,SMB (AM Segment),25.0%,6,0.0%,€15.29,25.0%,6,0.0%,€23.62
1951,SUSHI PIZZA IMPERIYA,SMB (AM Segment),25.0%,1,0.0%,€14.50,25.0%,2,0.0%,€29.32
1952,SUSHI UZH,SMB (AM Segment),25.0%,2,0.0%,€24.42,25.0%,1,0.0%,€48.55
1953,SUSHIBOSS,SMB (AM Segment),25.0%,7,0.0%,€15.52,24.4%,6,0.0%,€19.84
1954,SYTYI VKRYTYI,Mid-market (AM Segment),25.0%,46,0.0%,€9.92,25.0%,45,0.0%,€8.46
1955,TAKIDA,SMB (AM Segment),25.0%,4,0.0%,€10.13,25.0%,2,0.0%,€14.60
1956,TATRIE,SMB (AM Segment),25.0%,6,100.0%,€28.30,26.0%,4,100.0%,€34.85
1957,TAYKO BERDYCHIVSKA,Mid-market (AM Segment),25.0%,6,0.0%,€17.44,25.0%,7,0.0%,€19.56
1958,TERAKOTA,SMB (AM Segment),25.0%,6,0.0%,€12.92,25.0%,8,0.0%,€14.39
1959,THE GRILL CHE,SMB (AM Segment),25.0%,4,0.0%,€12.45,25.0%,4,0.0%,€19.03
1960,TRISHKY BILSHE,SMB (AM Segment),25.0%,7,0.0%,€22.03,25.0%,8,0.0%,€26.94
1961,TSYPTSYP,SMB (AM Segment),25.0%,1,0.0%,€5.12,,,,
1962,TWISTME,SMB (AM Segment),25.0%,1,0.0%,€16.13,25.0%,3,0.0%,€10.66
1963,TWO CHELLAS PIZZA,SMB (AM Segment),25.0%,3,0.0%,€20.43,25.0%,2,0.0%,€15.68
1964,UMAMI SUSHI,Mid-market (AM Segment),25.0%,14,0.0%,€26.11,24.9%,40,33.4%,€29.48
1965,UMI SEA FOOD,SMB (AM Segment),25.0%,1,0.0%,€15.73,25.0%,1,0.0%,€12.02
